lat,lon,id,generator:method,generator:source,source,operator
0.7185397,52.6301547,node/21710548,yes,horizontal_axis,Bing;local_knowledge,
-0.9855823,51.4186559,node/27016257,2 MW,horizontal_axis,http://www.ecotricity.co.uk/our-green-energy/our-green-electricity/from-the-wind/wind-parks-gallery/green-park-reading,Ecotricity
-1.2752298,54.7006108,node/27431982,yes,horizontal_axis,,
-0.6565566,52.3664188,node/271844404,yes,horizontal_axis,,
-0.6571546,52.362709,node/271844615,yes,horizontal_axis,,
-0.6522704,52.3634018,node/271844996,yes,horizontal_axis,,
-1.684711,54.8470594,node/303926241,yes,horizontal_axis,,
-2.6347876,54.3368951,node/305720728,yes,horizontal_axis,,
-0.4350545,51.708809,node/306143365,225 kW,horizontal_axis,,Renewable Energy systems Ltd
-1.4413974,54.7166325,node/312292156,yes,horizontal_axis,,
-1.4417622,54.7188139,node/312292165,yes,horizontal_axis,,
-1.4416013,54.7213669,node/312292174,yes,horizontal_axis,,
-1.4408074,54.7232385,node/312292184,yes,horizontal_axis,,
0.70119,52.6569254,node/339487543,,horizontal_axis,,Ecotricity
-1.9326562,52.3990238,node/380489762,yes,,survey,
-3.6748598,51.6799671,node/386225402,yes,horizontal_axis,,
-1.5402271,53.7649757,node/395305594,yes,,,
-2.2678281,51.7021556,node/412786735,,horizontal_axis,,Ecotricity
-1.6584974,51.6214933,node/514389187,yes,horizontal_axis,,
-1.6557332,51.621164,node/514389188,yes,horizontal_axis,Bing,
-1.6530614,51.620821,node/514389189,yes,horizontal_axis,Bing,
-1.6503902,51.6204812,node/514389190,yes,horizontal_axis,,
-1.6476865,51.6201349,node/514389191,yes,horizontal_axis,,
-1.9460346,52.6693343,node/520683591,,,,
-1.688438,54.8233966,node/568474522,yes,horizontal_axis,GPS survey with triangulation,
-1.6959018,54.8187485,node/568474523,yes,horizontal_axis,,
-1.6879894,54.8204946,node/568474525,yes,horizontal_axis,GPS survey with triangulation,
-1.6891608,54.8170076,node/568474526,yes,horizontal_axis,GPS survey with triangulation; Bing,
0.0860845,52.5740236,node/634898016,yes,horizontal_axis,,
-0.938378,53.7553928,node/689441664,yes,horizontal_axis,local_knowledge,
-0.9307482,53.755909,node/689441693,yes,horizontal_axis,local_knowledge,
-0.1206511,52.4622396,node/699224600,yes,horizontal_axis,,Cornwall Light & Power
-0.1711399,52.556601,node/701781407,yes,horizontal_axis,,
-0.1826645,52.5615707,node/701781569,yes,horizontal_axis,,
-0.1789094,52.5593013,node/701781571,yes,horizontal_axis,,
-0.1762064,52.5624711,node/701781583,yes,horizontal_axis,,
-0.9454614,53.7227424,node/779763227,yes,horizontal_axis,GPS,
-0.9426053,53.725987,node/779763380,yes,horizontal_axis,GPS,
-0.939193,53.7237009,node/779763402,yes,horizontal_axis,GPS,
-0.937042,53.7264166,node/779763590,yes,horizontal_axis,GPS,
-0.9289154,53.7253664,node/779763637,yes,horizontal_axis,GPS,
-0.9325463,53.7270534,node/779763743,yes,horizontal_axis,GPS,
-0.9234957,53.7265347,node/779763784,yes,horizontal_axis,GPS,
-0.9266803,53.7291133,node/779763873,yes,horizontal_axis,GPS,
-0.9212482,53.7302982,node/779763962,yes,horizontal_axis,GPS,
-0.9151334,53.7293106,node/779763998,yes,horizontal_axis,GPS,
-1.2958087,54.692451,node/834534362,yes,horizontal_axis,OS_OpenData_StreetView & Local Knowledge,
-1.3015701,54.6931765,node/834535146,yes,horizontal_axis,OS_OpenData_StreetView & Local Knowledge,
-1.6237955,55.1036813,node/913954975,2.5 MW,horizontal_axis,,Merck Sharp & Dohme
-0.0995045,51.492857,node/916163610,19 kW,,,
-0.099353,51.4928336,node/916163614,19 kW,,,
-0.099658,51.4928766,node/916163619,19 kW,,,
-4.1623679,55.7540076,node/917143850,,,,Ecotricity
-2.5824471,51.2545018,node/917146643,2 MW,horizontal_axis,OS OpenData StreetView,Ecotricity
-1.0878582,53.2952005,node/917182254,,horizontal_axis,,Ecotricity
0.2368777,53.3185365,node/917220822,,horizontal_axis,,Ecotricity
0.2348033,53.317731,node/917221710,,horizontal_axis,,Ecotricity
0.2287882,53.3183219,node/917225678,,horizontal_axis,,
0.2299683,53.3171297,node/917225753,,horizontal_axis,,
0.2322858,53.3178219,node/917225872,,horizontal_axis,,
0.2316849,53.3193729,node/917226165,,horizontal_axis,,
0.2352469,53.3198985,node/917226218,,horizontal_axis,,
0.2340926,53.3212279,node/917226370,,horizontal_axis,,Ecotricity
0.2373927,53.3214109,node/917226418,,horizontal_axis,,
0.2385299,53.3199882,node/917227028,,horizontal_axis,,
0.2321785,53.3238269,node/917233532,,horizontal_axis,,Ecotricity
0.2324038,53.3227951,node/917233626,,horizontal_axis,,Ecotricity
0.2269964,53.3208918,node/917234104,,horizontal_axis,,Ecotricity
0.2299683,53.3219749,node/917234491,,horizontal_axis,,Ecotricity
